source,target,synapses,type
ADLL,ASEL,1,chemical
ADLL,ASER,12,chemical
ADLL,ASGL,2,chemical
ADLL,ASHL,6,chemical
ADLL,AVAL,9,chemical
ADLL,AVAR,5,chemical
ADLL,AVBL,12,chemical
ADLL,AVDL,4,chemical
ADLL,AVDR,15,chemical
ADLL,AVDR,2,electrical
ADLL,AVJL,3,chemical
ADLL,AVJR,9,chemical
ADLL,AWAL,1,chemical
ADLL,AWAL,1,electrical
ADLL,AWBL,3,chemical
ADLL,AWCL,2,chemical
ADLL,OLQVL,2,chemical
ADLL,RIAL,1,chemical
ADLL,RIGL,1,chemical
ADLL,RIPL,3,chemical
ADLL,RIR,1,chemical
ADLL,RMGL,3,electrical
ADLL,SMBVL,5,chemical
ADLR,ADAR,1,chemical
ADLR,ADLL,6,electrical
ADLR,ADLR,3,chemical
ADLR,AIAR,22,chemical
ADLR,AIBR,27,chemical
ADLR,ASER,2,chemical
ADLR,ASGR,1,electrical
ADLR,ASHR,4,chemical
ADLR,ASKR,1,electrical
ADLR,AVAR,8,chemical
ADLR,AVBL,3,chemical
ADLR,AVBR,7,chemical
ADLR,AVDL,26,chemical
ADLR,AVDR,3,chemical
ADLR,AVJL,2,chemical
ADLR,AVJR,3,chemical
ADLR,AWCR,7,chemical
ADLR,CEPVR,1,chemical
ADLR,OLLR,1,chemical
ADLR,OLQVR,1,chemical
ADLR,PVCL,3,chemical
ADLR,RICL,1,chemical
ADLR,RICR,5,chemical
ADLR,RIFR,2,chemical
ADLR,RIPR,2,chemical
ADLR,SIBVL,2,chemical
ADLR,SMBVR,5,chemical
ADLR,URBR,6,chemical
ADLR,URXR,8,chemical
AFDL,ADFL,3,electrical
AFDL,AFDL,1,chemical
AFDL,AFDR,1,electrical
AFDL,AIBL,1,chemical
AFDL,AIBL,2,electrical
AFDL,AINR,3,chemical
AFDL,AIYL,25,chemical
AFDL,AIYL,2,electrical
AFDL,ASEL,1,chemical
AFDL,ASEL,6,electrical
AFDL,ASER,1,chemical
AFDL,AVEL,1,electrical
AFDL,AWBL,4,chemical
AFDL,URBL,9,electrical
AFDR,ADFR,5,electrical
AFDR,AFDL,1,chemical
AFDR,AFDL,1,electrical
AFDR,AIYR,29,chemical
AFDR,ASEL,1,chemical
AFDR,ASEL,2,electrical
AFDR,ASER,4,chemical
AFDR,ASER,1,electrical
AFDR,ASHR,4,electrical
AFDR,AWCR,3,electrical
AFDR,RMDVR,1,electrical
AFDR,URBR,2,electrical
AIAL,ADAL,1,chemical
AIAL,ADFL,2,chemical
AIAL,ADLL,1,chemical
AIAL,AIAR,7,electrical
AIAL,AIBL,35,chemical
AIAL,AIBL,5,electrical
AIAL,AIML,6,chemical
AIAL,AIZL,4,chemical
AIAL,ASEL,5,chemical
AIAL,ASER,10,chemical
AIAL,ASGL,1,chemical
AIAL,ASHL,1,chemical
AIAL,ASIL,1,electrical
AIAL,ASIR,2,electrical
AIAL,ASJL,4,chemical
AIAL,ASJL,1,electrical
AIAL,ASKL,9,chemical
AIAL,ASKL,2,electrical
AIAL,AWBL,1,electrical
AIAL,AWCL,1,chemical
AIAL,AWCR,6,chemical
AIAL,AWCR,1,electrical
AIAL,PVQL,1,chemical
AIAL,RIFL,10,chemical
AIAL,RIR,2,chemical
AIAL,RMGL,2,chemical
AIAR,ADAR,4,chemical
AIAR,ADFR,4,electrical
AIAR,ADLR,10,chemical
AIAR,AIAL,7,electrical
AIAR,AIAR,2,electrical
AIAR,AIBR,33,chemical
AIAR,AIZR,2,chemical
AIAR,ASER,5,chemical
AIAR,ASGR,5,chemical
AIAR,ASGR,3,electrical
AIAR,ASHR,1,electrical
AIAR,ASIR,2,chemical
AIAR,ASIR,3,electrical
AIAR,ASKR,1,electrical
AIAR,AWAR,4,chemical
AIAR,AWAR,3,electrical
AIAR,AWCL,6,chemical
AIAR,AWCR,6,chemical
AIAR,AWCR,1,electrical
AIAR,RIFR,10,chemical
AIBL,AFDL,2,electrical
AIBL,AIAL,5,electrical
AIBL,AIBL,2,chemical
AIBL,AIZR,7,chemical
AIBL,AIZR,4,electrical
AIBL,ASHL,1,chemical
AIBL,ASHR,3,chemical
AIBL,ASKL,1,electrical
AIBL,AVAL,5,chemical
AIBL,AVBL,21,chemical
AIBL,AVEL,1,chemical
AIBL,DVC,2,electrical
AIBL,FLPL,1,chemical
AIBL,FLPL,1,electrical
AIBL,IL2DR,1,chemical
AIBL,RIBR,16,chemical
AIBL,RIFL,1,chemical
AIBL,RIGR,5,chemical
AIBL,RIGR,3,electrical
AIBL,RIML,1,chemical
AIBL,RIMR,56,chemical
AIBL,RIMR,1,electrical
AIBL,RIS,1,electrical
AIBL,RMED,2,electrical
AIBL,RMFR,6,chemical
AIBL,SAADL,6,chemical
AIBL,SAADR,10,chemical
AIBL,SAAVL,3,chemical
AIBL,SDQR,1,electrical
AIBL,SIADR,2,chemical
AIBL,SIADR,1,electrical
AIBL,SIAVR,2,chemical
AIBL,SIBDR,3,chemical
AIBL,SMDDR,16,chemical
AIBL,SMDDR,1,electrical
AIBL,SMDVR,4,chemical
AIBR,ADLR,1,chemical
AIBR,AIAR,1,chemical
AIBR,AIYR,1,chemical
AIBR,AIZL,3,electrical
AIBR,AQR,1,chemical
AIBR,ASKR,3,electrical
AIBR,AUAL,1,chemical
AIBR,AVAR,2,chemical
AIBR,AVBR,13,chemical
AIBR,AVEL,4,chemical
AIBR,AWCR,1,chemical
AIBR,DVA,1,chemical
AIBR,DVC,9,electrical
AIBR,PVPL,2,electrical
AIBR,PVT,1,electrical
AIBR,RIAL,2,chemical
AIBR,RIBL,11,chemical
AIBR,RICR,1,chemical
AIBR,RICR,1,electrical
AIBR,RIGL,1,chemical
AIBR,RIGL,3,electrical
AIBR,RIML,47,chemical
AIBR,RIML,2,electrical
AIBR,RIMR,5,chemical
AIBR,RIS,3,electrical
AIBR,RIVR,3,electrical
AIBR,RMFL,1,chemical
AIBR,SAADL,2,chemical
AIBR,SAADR,2,chemical
AIBR,SAAVR,1,chemical
AIBR,SIADL,1,chemical
AIBR,SIAVL,1,electrical
AIBR,SIBVR,2,chemical
AIBR,SMDDL,17,chemical
AIBR,SMDDL,2,electrical
AIBR,SMDVL,7,chemical
AIBR,VB1,3,chemical
AIML,AIAL,11,chemical
AIML,ALML,1,chemical
AIML,ASGL,8,chemical
AIML,ASGL,1,electrical
AIML,ASJL,2,chemical
AIML,ASKL,7,chemical
AIML,AVDL,1,chemical
AIML,AVFL,5,chemical
AIML,AVFR,4,chemical
AIML,AVHL,2,chemical
AIML,AVHR,1,chemical
AIML,AVJL,1,chemical
AIML,CEPDL,3,chemical
AIML,PVQL,1,chemical
AIML,RID,2,chemical
AIML,RIFL,2,chemical
AIML,RMGL,3,chemical
AIML,SIBVR,1,electrical
AIML,SMBVL,4,chemical
AIML,URXL,1,chemical
AIMR,ADFR,2,chemical
AIMR,AIAR,10,chemical
AIMR,AIMR,1,chemical
AIMR,ALA,2,chemical
AIMR,ASGR,6,chemical
AIMR,ASJR,4,chemical
AIMR,ASJR,1,electrical
AIMR,ASKR,4,chemical
AIMR,AVAR,1,chemical
AIMR,AVDR,2,chemical
AIMR,AVFL,3,chemical
AIMR,AVFR,4,chemical
AIMR,AVHR,2,chemical
AIMR,AVJR,1,chemical
AIMR,AVKR,3,electrical
AIMR,BDUR,2,chemical
AIMR,CEPVR,1,chemical
AIMR,CEPVR,1,electrical
AIMR,HSNL,3,chemical
AIMR,HSNR,3,chemical
AIMR,OLQDR,1,chemical
AIMR,PVNR,1,chemical
AIMR,RIFR,3,chemical
AIMR,RMDR,1,chemical
AIMR,RMGR,4,chemical
AIMR,SMBVR,1,electrical
AIMR,URXR,5,chemical
AINL,ADEL,2,electrical
AINL,AFDR,10,chemical
AINL,AIAR,1,chemical
AINL,AINR,1,electrical
AINL,ASEL,1,chemical
AINL,ASGR,1,chemical
AINL,ASGR,1,electrical
AINL,ASIL,11,chemical
AINL,AUAR,2,chemical
AINL,AUAR,1,electrical
AINL,BAGL,5,chemical
AINL,CEPVR,2,chemical
AINL,RIBL,2,chemical
AINL,RIBR,3,chemical
AINL,RID,2,chemical
AINL,RMDVL,3,chemical
AINL,RMFL,1,chemical
AINL,SAAVL,3,chemical
AINR,ADER,4,electrical
AINR,AFDL,9,chemical
AINR,AFDR,3,chemical
AINR,AIAL,2,chemical
AINR,AIBL,2,chemical
AINR,AINL,1,chemical
AINR,AINL,1,electrical
AINR,AINR,1,chemical
AINR,ASEL,1,chemical
AINR,ASER,3,chemical
AINR,ASGL,1,chemical
AINR,ASGL,1,electrical
AINR,ASIL,1,electrical
AINR,AUAL,1,chemical
AINR,AUAL,3,electrical
AINR,AUAR,2,chemical
AINR,AWCL,2,chemical
AINR,BAGL,3,electrical
AINR,BAGR,9,chemical
AINR,CEPDL,2,chemical
AINR,RIAL,2,electrical
AINR,RIBL,8,chemical
AINR,RID,2,chemical
AINR,URXL,2,chemical
AINR,URXR,2,chemical
AIYL,AFDL,2,chemical
AIYL,AFDL,2,electrical
AIYL,AIBL,3,chemical
AIYL,AIYR,4,electrical
AIYL,AIZL,67,chemical
AIYL,ASER,1,chemical
AIYL,AVKL,1,electrical
AIYL,AWAL,14,chemical
AIYL,AWCL,5,chemical
AIYL,AWCR,3,chemical
AIYL,HSNR,1,chemical
AIYL,RIAL,51,chemical
AIYL,RIBL,42,chemical
AIYL,RIH,1,chemical
AIYL,RIML,5,electrical
AIYL,RIR,1,chemical
AIYR,ADFR,1,chemical
AIYR,AFDR,1,chemical
AIYR,AINL,1,chemical
AIYR,AIYL,7,chemical
AIYR,AIYL,4,electrical
AIYR,AIZR,70,chemical
AIYR,ASEL,2,chemical
AIYR,ASER,4,chemical
AIYR,ASGR,2,chemical
AIYR,ASIR,1,electrical
AIYR,AUAR,1,electrical
AIYR,AWAR,1,chemical
AIYR,AWBR,1,chemical
AIYR,BAGR,1,chemical
AIYR,RIAR,50,chemical
AIYR,RIBR,60,chemical
AIYR,RIMR,3,electrical
AIYR,RIVR,1,chemical
AIZL,ADFL,1,chemical
AIZL,ADFL,1,electrical
AIZL,AFDL,1,chemical
AIZL,AIAL,12,chemical
AIZL,AIBL,10,chemical
AIZL,AIBR,53,chemical
AIZL,AIBR,3,electrical
AIZL,AIZR,18,electrical
AIZL,ASEL,4,chemical
AIZL,ASGL,3,electrical
AIZL,ASHL,2,electrical
AIZL,AVEL,3,chemical
AIZL,AVER,26,chemical
AIZL,AVKR,4,chemical
AIZL,AWAL,3,electrical
AIZL,AWCR,2,chemical
AIZL,DVA,1,chemical
AIZL,RIAL,29,chemical
AIZL,RICR,11,chemical
AIZL,RIGL,4,chemical
AIZL,RIGL,1,electrical
AIZL,RIH,1,electrical
AIZL,RIML,35,chemical
AIZL,SMBDL,24,chemical
AIZL,SMBVL,21,chemical
AIZL,SMDVL,3,chemical
AIZL,URYDL,3,chemical
AIZL,VB2,1,chemical
AIZR,ADFR,1,chemical
AIZR,AIAR,5,chemical
AIZR,AIBL,50,chemical
AIZR,AIBL,4,electrical
AIZR,AIBR,3,chemical
AIZR,AIZL,18,electrical
AIZR,ASER,2,chemical
AIZR,ASGR,1,electrical
AIZR,ASHR,6,electrical
AIZR,AVEL,28,chemical
AIZR,AVER,1,chemical
AIZR,AWAR,1,chemical
AIZR,AWAR,3,electrical
AIZR,AWCR,2,chemical
AIZR,DVA,3,chemical
AIZR,RIAR,25,chemical
AIZR,RIMR,34,chemical
AIZR,SIADR,1,chemical
AIZR,SIBVL,1,electrical
AIZR,SMBDR,17,chemical
AIZR,SMBVR,10,chemical
AIZR,SMDDR,4,chemical
ALA,ASJL,2,electrical
ALA,ASJR,4,chemical
ALA,ASKR,1,electrical
ALA,AVAL,1,electrical
ALA,AVAR,3,chemical
ALA,AVDR,1,chemical
ALA,AVEL,8,chemical
ALA,AVER,4,chemical
ALA,AVER,3,electrical
ALA,HSNR,1,electrical
ALA,RIAR,2,chemical
ALA,RID,4,electrical
ALA,RMDR,3,chemical
ALML,AIML,1,chemical
ALML,ALML,1,chemical
ALML,AVDR,3,chemical
ALML,AVEL,3,chemical
ALML,AVM,7,electrical
ALML,BDUL,15,chemical
ALML,BDUL,23,electrical
ALML,CEPDL,2,chemical
ALML,CEPVL,3,chemical
ALML,PVCL,11,chemical
ALML,PVCR,4,chemical
ALML,PVR,3,electrical
ALML,RICL,2,chemical
ALML,RICR,3,chemical
ALML,RIFL,2,chemical
ALML,RMDDR,1,chemical
ALML,RMDDR,2,electrical
ALML,RMGL,3,chemical
ALML,RMGL,3,electrical
ALML,SDQL,2,chemical
ALML,SMBDR,2,chemical
ALML,SMBDR,1,electrical
ALMR,AVDR,2,electrical
ALMR,AVM,16,electrical
ALMR,BDUR,14,chemical
ALMR,BDUR,23,electrical
ALMR,CEPDR,1,chemical
ALMR,CEPVR,3,chemical
ALMR,PVCR,10,chemical
ALMR,PVR,3,electrical
ALMR,RMDDL,1,chemical
ALMR,SDQR,2,electrical
ALMR,SIADL,1,chemical
ALMR,SMDDL,1,chemical
ALMR,URBR,1,chemical
ALNL,RIAL,1,chemical
ALNL,RMDDR,1,chemical
ALNL,RMGL,1,chemical
ALNL,RMHL,1,chemical
ALNL,SAAVL,8,chemical
ALNL,SIADR,1,chemical
ALNL,SMBDR,7,chemical
ALNL,SMBDR,3,electrical
ALNL,SMDDR,2,electrical
ALNL,SMDVL,1,chemical
ALNL,SMDVL,1,electrical
ALNR,ADER,1,chemical
ALNR,ADER,2,electrical
ALNR,AVAL,6,chemical
ALNR,IL2DR,7,chemical
ALNR,PVR,16,electrical
ALNR,RIML,5,chemical
ALNR,RMGR,1,electrical
ALNR,SAAVR,3,chemical
ALNR,SMBDL,4,chemical
ALNR,SMDDL,1,electrical
ALNR,SMDDR,1,chemical
ALNR,SMDVL,2,chemical
AQR,AVAL,4,chemical
AQR,AVAR,6,chemical
AQR,AVBL,7,chemical
AQR,AVBL,3,electrical
AQR,AVBR,12,chemical
AQR,AVDL,3,chemical
AQR,AVDR,2,chemical
AQR,AVJL,3,chemical
AQR,AVKL,7,electrical
AQR,AVKR,2,electrical
AQR,BAGL,8,chemical
AQR,BAGR,5,chemical
AQR,DVA,6,chemical
AQR,PVCL,1,chemical
AQR,PVCR,4,chemical
AQR,PVPL,3,chemical
AQR,PVPL,41,electrical
AQR,PVPR,1,chemical
AQR,PVPR,61,electrical
AQR,RIAL,8,chemical
AQR,RIAR,4,chemical
AQR,RIGL,1,chemical
AQR,RIGR,3,electrical
AQR,RIR,1,chemical
AQR,URXL,5,chemical
AS1,AS1,3,chemical
AS1,AVEL,2,electrical
AS1,AVER,1,electrical
AS1,DA1,8,chemical
AS1,DB1,3,chemical
AS1,DD1,2,chemical
AS1,FLPR,1,electrical
AS1,VA3,3,electrical
AS1,VA6,3,electrical
AS1,VD1,20,chemical
AS1,VD2,23,electrical
AS10,AVAL,5,electrical
AS10,AVAR,2,electrical
AS10,AVBL,1,electrical
AS10,AVHL,1,electrical
AS10,AVKL,1,electrical
AS10,DA7,1,electrical
AS10,DA9,1,electrical
AS10,DB7,1,electrical
AS10,VA12,3,electrical
AS10,VD10,10,chemical
AS10,VD11,10,chemical
AS11,AVAR,3,electrical
AS11,AVFL,2,electrical
AS11,AVG,1,electrical
AS11,AVHL,3,electrical
AS11,AVHR,17,electrical
AS11,AVKL,1,electrical
AS11,DA8,1,electrical
AS11,DD6,6,chemical
AS11,DVA,1,electrical
AS11,DVB,4,electrical
AS11,PDB,4,electrical
AS11,PVPL,6,electrical
AS11,VA11,1,electrical
AS11,VB11,1,electrical
AS11,VD12,20,chemical
AS11,VD13,4,chemical
AS2,DA2,2,electrical
AS2,DB1,1,chemical
AS2,DD1,3,chemical
AS2,RID,2,chemical
AS2,VA3,2,electrical
AS2,VA4,9,electrical
AS2,VD2,21,chemical
AS3,AVAR,1,electrical
AS3,DA3,1,chemical
AS3,VD3,23,chemical
AS4,DA2,1,electrical
AS4,DA3,2,chemical
AS4,DA3,4,electrical
AS4,DB2,2,chemical
AS4,DD1,2,chemical
AS4,DD2,4,chemical
AS4,VD4,21,chemical
AS5,AS5,3,chemical
AS5,AVAR,3,electrical
AS5,AVBR,2,electrical
AS5,VD5,12,chemical
AS6,AVAR,2,electrical
AS6,AVBL,1,electrical
AS6,AVBR,1,electrical
AS6,DA5,1,chemical
AS6,DA5,5,electrical
AS6,DB4,1,chemical
AS6,VD6,20,chemical
AS7,VD7,20,chemical
AS8,VD8,20,chemical
AS9,VD9,20,chemical
ASEL,ADFR,1,chemical
ASEL,AFDL,6,electrical
ASEL,AFDR,3,chemical
ASEL,AFDR,2,electrical
ASEL,AIAL,6,chemical
ASEL,AIBL,16,chemical
ASEL,AIBR,13,chemical
ASEL,AIYL,32,chemical
ASEL,AIYR,21,chemical
ASEL,AIZL,1,chemical
ASEL,ASER,2,chemical
ASEL,ASGL,3,electrical
ASEL,ASJL,1,chemical
ASEL,AWBL,1,chemical
ASEL,AWCL,16,chemical
ASEL,AWCL,1,electrical
ASEL,AWCR,11,chemical
ASEL,AWCR,2,electrical
ASEL,IL2R,1,chemical
ASEL,OLLR,1,chemical
ASEL,RIAR,2,chemical
ASEL,RIR,1,chemical
ASER,ADLL,4,chemical
ASER,ADLR,1,chemical
ASER,AFDL,2,chemical
ASER,AFDR,3,chemical
ASER,AFDR,1,electrical
ASER,AIAL,8,chemical
ASER,AIAR,4,chemical
ASER,AIBL,4,chemical
ASER,AIBR,32,chemical
ASER,AIYL,9,chemical
ASER,AIYR,38,chemical
ASER,AIZL,1,chemical
ASER,ASEL,3,chemical
ASER,ASGR,3,electrical
ASER,ASHR,2,chemical
ASER,ASKL,1,chemical
ASER,AWAR,1,chemical
ASER,AWBR,1,electrical
ASER,AWCL,1,chemical
ASER,AWCR,1,chemical
ASER,PVQR,1,electrical
ASGL,AIAL,46,chemical
ASGL,AIBL,17,chemical
ASGL,AIML,1,electrical
ASGL,AINR,2,chemical
ASGL,AINR,1,electrical
ASGL,AIZL,3,electrical
ASGL,ASEL,3,electrical
ASGL,ASKL,2,chemical
ASGL,AWBL,1,electrical
ASGL,RIVL,2,electrical
ASGR,ADFR,1,electrical
ASGR,ADLR,1,electrical
ASGR,AIAR,51,chemical
ASGR,AIAR,3,electrical
ASGR,AIBR,20,chemical
ASGR,AINL,1,electrical
ASGR,AIYR,1,chemical
ASGR,AIZR,1,electrical
ASGR,ASER,3,chemical
ASGR,ASER,3,electrical
ASGR,ASIR,4,electrical
ASGR,AWCR,2,electrical
ASGR,RIFR,14,chemical
ASHL,ADAL,2,chemical
ASHL,ADFL,6,chemical
ASHL,ADFL,1,electrical
ASHL,ADLL,6,chemical
ASHL,AIAL,24,chemical
ASHL,AIBL,13,chemical
ASHL,AIZL,3,chemical
ASHL,AIZL,2,electrical
ASHL,ASHR,7,electrical
ASHL,ASKL,1,chemical
ASHL,ASKL,18,electrical
ASHL,AVAL,15,chemical
ASHL,AVAR,1,chemical
ASHL,AVBL,14,chemical
ASHL,AVDL,7,chemical
ASHL,AVDR,20,chemical
ASHL,AVFL,2,chemical
ASHL,AVHR,2,chemical
ASHL,HSNL,2,chemical
ASHL,RIAL,9,chemical
ASHL,RICL,5,electrical
ASHL,RIML,4,chemical
ASHL,RIPL,4,chemical
ASHL,RIR,4,chemical
ASHL,RMGL,3,electrical
ASHL,URXL,2,chemical
ASHR,ADAR,5,chemical
ASHR,ADAR,3,electrical
ASHR,ADFR,3,chemical
ASHR,ADLR,13,chemical
ASHR,AFDR,4,electrical
ASHR,AIAR,28,chemical
ASHR,AIAR,1,electrical
ASHR,AIBR,7,chemical
ASHR,AIZR,6,electrical
ASHR,ASHL,7,electrical
ASHR,ASHR,2,chemical
ASHR,ASKR,2,electrical
ASHR,AVAR,10,chemical
ASHR,AVAR,2,electrical
ASHR,AVBR,6,chemical
ASHR,AVDL,27,chemical
ASHR,AVDR,2,chemical
ASHR,AVER,7,chemical
ASHR,AVER,1,electrical
ASHR,AVHL,1,chemical
ASHR,AVHL,2,electrical
ASHR,AWAR,1,chemical
ASHR,AWBL,1,chemical
ASHR,HSNL,4,chemical
ASHR,HSNR,5,chemical
ASHR,PVCL,3,chemical
ASHR,PVPR,1,chemical
ASHR,RIAR,3,chemical
ASHR,RICR,4,electrical
ASHR,RMGR,6,chemical
ASHR,RMGR,3,electrical
ASHR,SMBVR,7,chemical
ASIL,ADFL,1,chemical
ASIL,AIAL,2,chemical
ASIL,AIAL,1,electrical
ASIL,AIBL,3,chemical
ASIL,AINR,1,electrical
ASIL,AIYL,3,chemical
ASIL,AIYR,2,chemical
ASIL,AIZL,1,chemical
ASIL,ASER,8,chemical
ASIL,ASGL,3,chemical
ASIL,ASKL,3,chemical
ASIL,AWAR,2,chemical
ASIL,AWCL,3,chemical
ASIL,AWCR,4,chemical
ASIL,CEPVR,1,chemical
ASIL,RIAL,3,chemical
ASIL,RIBL,1,chemical
ASIL,RMFL,1,chemical
ASIL,SAAVL,2,chemical
ASIR,ADLR,1,chemical
ASIR,AIAL,1,chemical
ASIR,AIAL,2,electrical
ASIR,AIAR,4,chemical
ASIR,AIAR,3,electrical
ASIR,AIBR,3,chemical
ASIR,AIYR,1,electrical
ASIR,ASEL,2,chemical
ASIR,ASER,2,chemical
ASIR,ASGR,3,chemical
ASIR,ASGR,4,electrical
ASIR,ASHR,2,chemical
ASIR,AWAR,1,chemical
ASIR,AWCL,2,chemical
ASIR,AWCR,5,chemical
ASIR,CEPVR,1,chemical
ASJL,AIAL,1,electrical
ASJL,ALA,3,chemical
ASJL,ALA,2,electrical
ASJL,ASJR,1,chemical
ASJL,ASJR,7,electrical
ASJL,ASKL,12,chemical
ASJL,ASKR,1,chemical
ASJL,CEPDL,1,chemical
ASJL,HSNL,1,chemical
ASJL,HSNR,1,chemical
ASJL,IL2L,1,electrical
ASJL,PVQL,34,chemical
ASJL,PVQL,1,electrical
ASJL,RIVL,1,electrical
ASJR,AIMR,1,electrical
ASJR,ASJL,7,electrical
ASJR,ASKR,12,chemical
ASJR,HSNR,1,chemical
ASJR,PVQR,19,chemical
